,b,c,s,f
Jupiter,-2.1732839845833392e-06,0.0010583781303848735,-0.006219557234903031,0.6693555847554753
Saturn,4.520228229740115e-06,-0.0023447571730711007,0.015240240684754491,0.6693555847554753
Uranus,1.0180680059808123e-05,-0.017057425316586352,0.0030873556744194434,0.13387111695109508
Neptune,-7.216587391146153e-06,0.011928682807150657,-0.0017736990553867218,0.13387111695109508
